trade_num,date,league,format,bet_team,opponent,model_prob,market_open,edge,cost,entry_price,fillable_est,stake,result,pnl,bankroll_after,clv,prematch_close,beat_close,market_volume,winner
38,2026-02-23,ljl,bo1,L Guide Gaming,DetonatioN FocusMe Academy,0.54,0.315,0.225,0.06,0.375,39.15,20.52,LOSS,-20.52,1005.63,-0.17,0.145,N,2610.0,DetonatioN FocusMe Academy
39,2026-02-23,nlc,bo1,Verdant,Bulldog Esports,0.629,0.51,0.119,0.03,0.54,500.0,20.11,WIN,17.13,1022.76,0.32,0.83,Y,126015.0,Verdant
40,2026-03-01,ljl,bo1,New Meta,Fast8,0.674,0.5,0.174,0.08,0.58,9.1,9.1,WIN,6.59,1029.35,0.235,0.735,Y,910.0,New Meta
41,2026-03-01,ljl,bo1,Rising Gaming,Uwinks,0.641,0.5,0.141,0.04,0.54,300.0,20.59,WIN,17.54,1046.89,0.31,0.81,Y,43967.0,Rising Gaming
42,2026-03-01,ljl,bo1,Inferno Drive Tokyo,L Guide Gaming,0.684,0.5,0.184,0.04,0.54,300.0,20.94,LOSS,-20.94,1025.95,0.02,0.52,Y,26354.0,L Guide Gaming
43,2026-03-02,ljl,bo1,DetonatioN FocusMe Academy,Fast8,0.663,0.505,0.158,0.05,0.555,137.69,20.52,WIN,16.45,1042.4,-0.27,0.235,N,6884.0,DetonatioN FocusMe Academy
44,2026-03-02,ljl,bo1,Inferno Drive Tokyo,VARREL YOUTH,0.647,0.49,0.157,0.08,0.57,16.71,16.71,WIN,12.61,1055.01,0.365,0.855,Y,1671.0,Inferno Drive Tokyo
45,2026-03-13,emea masters,bo3,Arctic Pandas,Nightbirds,0.656,0.365,0.291,0.03,0.395,500.0,21.1,WIN,32.32,1087.33,0.48,0.845,Y,71847.0,Arctic Pandas
46,2026-03-26,north american challengers,bo3,Dorado Gaming,Blue Otter,0.44,0.225,0.215,0.04,0.265,300.0,21.75,LOSS,-21.75,1065.58,-0.12,0.105,N,30106.0,Blue Otter
47,2026-03-26,north american challengers,bo3,Citadel Gaming,Supernova,0.476,0.35,0.126,0.03,0.38,500.0,21.31,LOSS,-21.31,1044.27,-0.14,0.21,N,178535.0,Supernova
48,2026-03-26,lck challengers,bo3,DN SOOPers Challengers,KT Rolster Challengers,0.445,0.25,0.195,0.03,0.28,500.0,20.89,LOSS,-20.89,1023.38,-0.09,0.16,N,88074.0,KT Rolster Challengers
49,2026-03-26,lck challengers,bo3,Nongshim Esports Academy,HANJIN BRION Challengers,0.877,0.76,0.117,0.03,0.79,500.0,20.47,WIN,5.44,1028.82,0.135,0.895,Y,193314.0,Nongshim Esports Academy
50,2026-03-26,lck challengers,bo3,Dplus Kia Challengers,Gen.G Global Academy,0.678,0.5,0.178,0.03,0.53,500.0,20.58,WIN,18.25,1047.07,0.37,0.87,Y,79002.0,Dplus KIA Challengers
51,2026-03-26,lck challengers,bo3,Kiwoom DRX Challengers,KT Rolster Challengers,0.517,0.245,0.272,0.03,0.275,500.0,20.94,WIN,55.21,1102.28,0.405,0.65,Y,72869.0,Kiwoom DRX Challengers
52,2026-03-26,lck challengers,bo3,Gen.G Global Academy,HANJIN BRION Challengers,0.452,0.245,0.207,0.03,0.275,500.0,22.05,LOSS,-22.05,1080.23,0.05,0.295,Y,174151.0,HANJIN BRION Challengers
53,2026-03-26,lck challengers,bo3,Nongshim Esports Academy,BNK FEARX Youth,0.795,0.5,0.295,0.05,0.55,150.0,21.6,WIN,17.67,1097.9,0.38,0.88,Y,7675.0,Nongshim Esports Academy
54,2026-03-26,lck challengers,bo3,DN SOOPers Challengers,Dplus Kia Challengers,0.641,0.5,0.141,0.03,0.53,500.0,21.96,LOSS,-21.96,1075.94,-0.29,0.21,N,70732.0,Dplus KIA Challengers
55,2026-03-29,north american challengers,bo3,CCG Esports,Apex Mission Impossible,0.662,0.5,0.162,0.05,0.55,150.0,21.52,WIN,17.61,1093.55,0.395,0.895,Y,14039.0,CCG Esports
